Project_ID,Line_of_Business,Region,Country_Code,Forecast_Cost,Estimated_Sell_Price,Change_Order_Cost,Change_Order_Sell_Price,Final_Cost,Final_Sell_Price,Estimated_Duration_Days,Delays_Days,Final_Duration_Days,Tier,Risks_registered,Risks prevented
PRJ-0022,Service,Oceania,NZ,558220,638792.95,37644.38,42427.25,595864.38,681220.2,1301,31,1332,Tier 4,10,2
PRJ-0023,Install,Africa,EG,2365255,1875846.54,33873.6,46812.16,2399128.6,1922658.7,1651,126,1777,Tier 3,4,3
PRJ-0024,Energy,South America,BR,1545101,2359280.49,124068.1,175062.66,1669169.1,2534343.15,57,0,57,Tier 3,2,0
PRJ-0025,Install,North America,MX,1885326,2174310.34,164239.57,220464.24,2049565.57,2394774.58,700,100,800,Tier 3,7,0
PRJ-0026,Service,Oceania,AU,547006,836751.18,40512.6,45819.46,587518.6,882570.63,329,60,389,Tier 4,1,0
PRJ-0027,Install,Asia,JP,4177829,4053661.95,900789.83,911143.27,5078618.83,4964805.22,23,2,25,Tier 2,10,1
PRJ-0028,Energy,Oceania,AU,2780736,2738098.14,307168.83,424494.89,3087904.83,3162593.04,1458,94,1552,Tier 3,0,0
PRJ-0029,Energy,North America,MX,2310345,1404918.7,131039.02,173206.44,2441384.02,1578125.14,1694,74,1768,Tier 3,2,1
PRJ-0030,Install,Oceania,AU,1003159,1613378.82,98379.33,100867.36,1101538.33,1714246.17,1427,193,1620,Tier 3,8,2
PRJ-0031,Service,North America,MX,2965318,4609337.7,688080.91,721727.18,3653398.91,5331064.88,1541,299,1840,Tier 3,5,2
PRJ-0032,Energy,Asia,CN,3898045,4821889.2,1040158.95,1095356.95,4938203.95,5917246.15,364,49,413,Tier 3,4,1
PRJ-0033,Energy,Africa,EG,1810255,3188461.49,142066.21,169634.2,1952321.21,3358095.69,1287,221,1508,Tier 3,1,0
PRJ-0034,Service,Asia,JP,147916,225541.32,9256.96,11097,157172.96,236638.32,1615,137,1752,Tier 5,8,1
PRJ-0035,Energy,Africa,EG,2883544,1945465.01,707746.21,810018.75,3591290.21,2755483.76,162,13,175,Tier 3,0,0
PRJ-0036,Service,Oceania,AU,4619467,3674826.42,1123136.41,1677445.01,5742603.41,5352271.42,287,40,327,Tier 2,3,2
PRJ-0037,Service,Asia,JP,1595360,1650788.83,466152.44,618210.89,2061512.44,2268999.72,322,11,333,Tier 3,1,0
PRJ-0038,Service,Europe,DE,3116702,3637445.5,919682.39,1323757.93,4036384.39,4961203.43,1560,20,1580,Tier 3,3,1
PRJ-0039,Install,North America,US,4859864,6204328.74,295069.34,310756.93,5154933.34,6515085.67,1382,12,1394,Tier 2,6,6
PRJ-0040,Install,Europe,DE,4647054,8220997.33,834911.72,1246437.86,5481965.72,9467435.2,265,39,304,Tier 2,6,3
PRJ-0041,Service,Europe,FR,55788,48564.72,3306.3,3944.95,59094.3,52509.67,574,63,637,Tier 5,10,2
PRJ-0042,Energy,Oceania,NZ,1365725,1382650.03,272657.07,377819.14,1638382.07,1760469.16,542,54,596,Tier 3,0,0
PRJ-0043,Energy,North America,MX,4474072,3497793.12,1164844.95,1204673.03,5638916.95,4702466.16,65,8,73,Tier 2,4,4
PRJ-0044,Install,Asia,JP,1714794,2660975.87,285312.43,367826.62,2000106.43,3028802.49,1575,304,1879,Tier 3,9,0
PRJ-0045,Install,North America,MX,2184135,1460320.37,423387.96,468738.94,2607522.96,1929059.31,1112,50,1162,Tier 3,9,7
PRJ-0046,Energy,South America,AR,1141593,1350100.81,30381.14,44080.37,1171974.14,1394181.18,641,76,717,Tier 3,5,1
PRJ-0047,Service,Europe,DE,3723408,3255171.23,73807.12,85833.01,3797215.12,3341004.25,167,18,185,Tier 3,0,0
PRJ-0048,Service,Europe,FR,1368215,947886.33,224967.45,243258.16,1593182.45,1191144.49,1172,206,1378,Tier 3,10,7
PRJ-0049,Install,Asia,CN,4812083,3281778.57,56807.44,66442.92,4868890.44,3348221.48,566,14,580,Tier 3,0,0
PRJ-0050,Service,Africa,EG,2235547,2004824.25,522672.96,535769.74,2758219.96,2540593.99,1404,103,1507,Tier 3,0,0
PRJ-0051,Energy,South America,BR,730582,1309936.16,26229.52,30666.27,756811.52,1340602.43,49,7,56,Tier 4,10,1
PRJ-0052,Install,South America,AR,3455407,2090460.13,818328.18,839356.76,4273735.18,2929816.9,41,0,41,Tier 3,5,3
PRJ-0053,Install,North America,MX,160609,283174.96,1347.37,1418.42,161956.37,284593.38,423,32,455,Tier 5,4,2
PRJ-0054,Install,Europe,FR,4379931,5272683.86,1094943.79,1177798.65,5474874.79,6450482.51,1153,170,1323,Tier 2,6,4
PRJ-0055,Install,North America,US,2859481,4912726.64,90156.27,91470.35,2949637.27,5004196.99,1011,5,1016,Tier 3,0,0
PRJ-0056,Install,Europe,DE,3988065,3222532.41,459739.49,467195.91,4447804.49,3689728.32,1243,28,1271,Tier 3,7,4
PRJ-0057,Energy,Oceania,NZ,1138952,1156908.18,58050.84,73827.98,1197002.84,1230736.17,612,106,718,Tier 3,9,4
PRJ-0058,Service,Oceania,NZ,106953,104712.47,4700.36,6967.52,111653.36,111680,137,21,158,Tier 5,7,6
PRJ-0059,Energy,North America,MX,2369775,1839983.14,125262.45,166552.94,2495037.45,2006536.08,914,59,973,Tier 3,3,1
PRJ-0060,Service,North America,US,615888,908685.02,39018.46,53104.79,654906.46,961789.81,1430,254,1684,Tier 4,8,6
PRJ-0061,Install,South America,BR,4309284,6612379.12,720280.07,1077728.41,5029564.07,7690107.54,1296,48,1344,Tier 2,2,0
PRJ-0062,Energy,Europe,DE,623125,878924.88,181460.27,243010.13,804585.27,1121935.02,52,7,59,Tier 4,5,0
PRJ-0063,Energy,Asia,JP,4702236,3195460.25,698187.36,957906.39,5400423.36,4153366.64,1162,151,1313,Tier 2,0,0
PRJ-0064,Service,Oceania,AU,4028787,5370388.21,410223.28,539982.6,4439010.28,5910370.81,776,129,905,Tier 3,6,3
PRJ-0065,Service,Africa,EG,1318574,1929906.38,317340.71,432854.39,1635914.71,2362760.77,854,64,918,Tier 3,3,0
PRJ-0066,Service,Oceania,NZ,2431078,2222124.41,393919.82,464936.22,2824997.82,2687060.63,769,37,806,Tier 3,5,1
PRJ-0067,Install,Oceania,AU,2661758,4453699.64,345919.2,427017.12,3007677.2,4880716.75,166,9,175,Tier 3,7,0
PRJ-0068,Energy,Asia,JP,3735211,6065377.99,963269.02,1157768.91,4698480.02,7223146.9,636,77,713,Tier 3,8,5
PRJ-0069,Service,North America,US,3500237,2209468.31,712720.13,797217.88,4212957.13,3006686.19,1406,233,1639,Tier 3,7,0
PRJ-0070,Install,Oceania,NZ,1963583,3477572.14,580258.02,768957.12,2543841.02,4246529.27,595,100,695,Tier 3,8,3
PRJ-0071,Energy,Europe,DE,990477,1324013.15,151763.04,212759.52,1142240.04,1536772.67,1261,98,1359,Tier 3,6,4
PRJ-0072,Energy,Africa,EG,3972321,4737541.4,88172.12,128296.85,4060493.12,4865838.25,1104,130,1234,Tier 3,6,5
PRJ-0073,Service,Africa,ZA,1685103,2966216.18,52732.3,60085.4,1737835.3,3026301.59,229,11,240,Tier 3,3,2
PRJ-0074,Install,Asia,CN,3407470,3388404.24,702764.19,1025962.71,4110234.19,4414366.94,822,83,905,Tier 3,6,6
PRJ-0075,Service,North America,MX,285224,321113.23,27320.81,34677.43,312544.81,355790.66,777,152,929,Tier 4,10,2
PRJ-0076,Install,Europe,DE,1339758,869706.16,303222.08,311243.31,1642980.08,1180949.48,850,64,914,Tier 3,6,2
PRJ-0077,Install,Europe,DE,3084859,2114882.34,547304.01,739354.85,3632163.01,2854237.2,1563,237,1800,Tier 3,6,4
PRJ-0078,Service,North America,MX,4883617,4848611.6,799453.96,885411.15,5683070.96,5734022.76,508,88,596,Tier 2,9,1
PRJ-0079,Service,North America,MX,4360218,3861790.4,864506.05,1194211.43,5224724.05,5056001.82,1457,253,1710,Tier 2,3,2
PRJ-0080,Service,South America,BR,2529066,4427035.91,443751.57,571522.54,2972817.57,4998558.44,236,13,249,Tier 3,3,2
PRJ-0081,Install,Africa,EG,1096194,941776.51,26992.23,29008.4,1123186.23,970784.91,1113,129,1242,Tier 3,9,0
PRJ-0082,Energy,South America,AR,3867362,5929103.37,1129117.35,1544892.33,4996479.35,7473995.71,221,11,232,Tier 3,1,1
PRJ-0083,Install,North America,MX,3222531,4642837.27,945014.48,1119056.84,4167545.48,5761894.11,247,6,253,Tier 3,0,0
PRJ-0084,Service,Africa,EG,1558460,2282567.2,332156.76,366578.88,1890616.76,2649146.08,113,4,117,Tier 3,10,0
PRJ-0085,Energy,Oceania,AU,4021786,6498544.86,1151597.57,1655789.19,5173383.57,8154334.04,54,9,63,Tier 2,1,1
PRJ-0086,Service,North America,MX,4845254,5758732.9,374522.73,472290.03,5219776.73,6231022.93,1107,107,1214,Tier 2,2,1
PRJ-0087,Energy,Europe,DE,1054346,1447998.8,75585.37,104132.97,1129931.37,1552131.77,926,50,976,Tier 3,8,4
PRJ-0088,Energy,Africa,ZA,4547383,5276809.04,1065246.36,1488556.34,5612629.36,6765365.38,80,5,85,Tier 2,2,1
PRJ-0089,Service,North America,MX,2349133,3666590.02,300806.5,322607.94,2649939.5,3989197.96,1768,314,2082,Tier 3,0,0
PRJ-0090,Install,Europe,DE,204173,177120.77,7395.78,10771.1,211568.78,187891.88,920,116,1036,Tier 5,9,1
PRJ-0091,Install,Oceania,AU,1263494,922142.04,119230.19,171086.24,1382724.19,1093228.28,1676,88,1764,Tier 3,9,6
PRJ-0092,Service,Europe,DE,3911116,3494514.71,471707.51,596053,4382823.51,4090567.71,389,37,426,Tier 3,7,3
PRJ-0093,Energy,Oceania,AU,1514190,2121847.14,113170.76,138812.78,1627360.76,2260659.92,1470,87,1557,Tier 3,5,0
PRJ-0094,Service,Africa,EG,1498744,1148130.74,401392.16,558784.92,1900136.16,1706915.66,52,2,54,Tier 3,6,3
PRJ-0095,Install,Asia,JP,1430230,2475819.29,162050.54,213151.3,1592280.54,2688970.59,626,6,632,Tier 3,5,5
PRJ-0096,Install,Europe,FR,2734866,3688682.3,40855.47,46556.1,2775721.47,3735238.4,1526,239,1765,Tier 3,6,5
PRJ-0097,Service,Europe,FR,2732364,2786028.39,407186.7,483556.81,3139550.7,3269585.2,778,99,877,Tier 3,2,1
PRJ-0098,Install,Asia,CN,777433,943939.76,186763.56,267266.62,964196.56,1211206.38,1571,231,1802,Tier 4,5,2
PRJ-0099,Install,Oceania,AU,2263018,3933209.41,365202.25,387968.68,2628220.25,4321178.09,1364,215,1579,Tier 3,3,2
PRJ-0100,Energy,Europe,DE,697344,678281.33,65906.74,71722.31,763250.74,750003.64,768,117,885,Tier 4,0,0
PRJ-0101,Install,South America,BR,4095833,3655153.9,311268.23,332435.22,4407101.23,3987589.12,1210,216,1426,Tier 3,1,0
PRJ-0102,Service,Africa,ZA,3490257,3744840.33,527836.97,638489.48,4018093.97,4383329.81,214,13,227,Tier 3,5,0
PRJ-0103,Service,Asia,CN,4532000,6955653.87,795219.23,805084.65,5327219.23,7760738.52,1238,49,1287,Tier 2,2,0
PRJ-0104,Energy,Europe,FR,4894517,7168582.69,840907.83,853856.43,5735424.83,8022439.12,980,192,1172,Tier 2,9,1
PRJ-0105,Install,Africa,ZA,4630983,4921502.43,939770.11,1014241.62,5570753.11,5935744.05,1412,215,1627,Tier 2,4,2
PRJ-0106,Energy,Oceania,NZ,1934545,1884376.9,533200.26,707693.29,2467745.26,2592070.19,717,32,749,Tier 3,4,2
PRJ-0107,Service,South America,AR,1684120,2087130.87,270227.25,335337.72,1954347.25,2422468.59,565,20,585,Tier 3,4,3
PRJ-0108,Install,Europe,FR,3742351,5431489.6,552804.77,696156.03,4295155.77,6127645.62,1504,74,1578,Tier 3,5,3
PRJ-0109,Energy,Europe,FR,2943319,2425202.86,5554.81,7747.85,2948873.81,2432950.71,609,61,670,Tier 3,10,1
PRJ-0110,Install,Europe,DE,1908342,2770201.85,191326.29,261257.25,2099668.29,3031459.1,967,151,1118,Tier 3,10,9
PRJ-0111,Service,North America,US,2894848,1919234.83,798226.11,1005641.63,3693074.11,2924876.46,356,54,410,Tier 3,9,5
PRJ-0112,Install,Africa,ZA,1672829,1710782.05,75688.63,88795.17,1748517.63,1799577.22,804,60,864,Tier 3,3,3
PRJ-0113,Install,Africa,EG,1963632,1368610.96,534822.21,673687.22,2498454.21,2042298.18,488,93,581,Tier 3,5,4
PRJ-0114,Service,Oceania,NZ,4006941,6278830.71,413450.07,527258.81,4420391.07,6806089.53,626,39,665,Tier 3,2,0
PRJ-0115,Energy,North America,US,3286911,5086281.92,848716.68,901758.26,4135627.68,5988040.18,68,6,74,Tier 3,4,2
PRJ-0116,Service,Africa,EG,1509911,1487095.3,142505.27,176111.95,1652416.27,1663207.25,1276,151,1427,Tier 3,3,3
PRJ-0117,Energy,Oceania,NZ,2355395,3582845.01,571940.2,590817.93,2927335.2,4173662.94,1541,60,1601,Tier 3,7,4
PRJ-0118,Energy,Africa,EG,3440945,4308280.05,699578.13,929463.54,4140523.13,5237743.59,182,6,188,Tier 3,6,5
PRJ-0119,Install,Africa,EG,4822707,8354918.77,1027510.25,1224138.61,5850217.25,9579057.38,1801,212,2013,Tier 2,2,0
PRJ-0120,Energy,South America,BR,584454,829714.41,18586.34,21003.88,603040.34,850718.29,188,10,198,Tier 4,6,5
PRJ-0121,Service,Europe,DE,191751,208951.15,16375.56,18273.62,208126.56,227224.77,33,3,36,Tier 5,9,1
PRJ-0122,Install,Oceania,AU,2931457,2179732.22,436281.77,511557.72,3367738.77,2691289.94,1020,16,1036,Tier 3,8,5
PRJ-0123,Energy,Africa,ZA,1375191,1555039.46,8283.69,10557.56,1383474.69,1565597.02,477,73,550,Tier 3,5,4
PRJ-0124,Energy,Oceania,AU,1552383,2600435.27,359336.8,414285.29,1911719.8,3014720.56,1145,208,1353,Tier 3,10,7
PRJ-0125,Install,Europe,FR,288252,339118.07,4668.98,5735.16,292920.98,344853.23,548,101,649,Tier 4,10,9
PRJ-0126,Install,Europe,DE,3506613,3067370.13,533714.77,588265.39,4040327.77,3655635.52,1535,210,1745,Tier 3,0,0
PRJ-0127,Service,Oceania,NZ,3062598,2902149.21,246693.73,294859.44,3309291.73,3197008.64,624,46,670,Tier 3,3,3
PRJ-0128,Service,Asia,JP,4074638,7251913.91,148426.96,212481.72,4223064.96,7464395.64,975,73,1048,Tier 3,4,0
PRJ-0129,Install,Africa,ZA,2291656,1529151.35,203498.9,223925.57,2495154.9,1753076.93,676,41,717,Tier 3,9,7
PRJ-0130,Install,North America,MX,4165547,6558974.1,844272.02,1077170.72,5009819.02,7636144.82,1449,218,1667,Tier 2,1,0
PRJ-0131,Energy,Oceania,NZ,943802,1531201.26,145404.47,176043.66,1089206.47,1707244.92,1259,101,1360,Tier 3,6,3
PRJ-0132,Service,South America,BR,4670537,5579084.9,56651.4,70283.44,4727188.4,5649368.34,206,35,241,Tier 3,2,0
PRJ-0133,Service,North America,US,2672797,3456310.06,221595.44,260375.69,2894392.44,3716685.74,951,14,965,Tier 3,5,0
PRJ-0134,Install,Africa,ZA,4145121,4196151.72,1174936.92,1618436.02,5320057.92,5814587.74,1539,291,1830,Tier 2,5,4
PRJ-0135,Service,North America,MX,1446422,1238275.05,67417.46,95041.39,1513839.46,1333316.44,1159,107,1266,Tier 3,4,4
PRJ-0136,Install,South America,AR,2346410,3641917.56,167636.55,174191.7,2514046.55,3816109.26,476,50,526,Tier 3,10,3
PRJ-0137,Service,Oceania,NZ,856810,1481103,14874.77,20079.54,871684.77,1501182.54,666,59,725,Tier 4,2,1
PRJ-0138,Install,Africa,EG,1427144,1917763.32,209918.57,296584.44,1637062.57,2214347.75,1279,39,1318,Tier 3,10,5
PRJ-0139,Service,Africa,EG,777900,1325482.6,82283.15,114079.09,860183.15,1439561.69,625,67,692,Tier 4,10,2
PRJ-0140,Energy,Asia,CN,3671169,2654537.68,586948.12,808835.55,4258117.12,3463373.23,270,30,300,Tier 3,7,4
PRJ-0141,Install,Asia,JP,3355021,2927077.74,849742.83,948430.37,4204763.83,3875508.1,512,99,611,Tier 3,10,5
PRJ-0142,Energy,Europe,FR,1098783,1587015.54,37934.48,45930.16,1136717.48,1632945.7,845,15,860,Tier 3,1,0
PRJ-0143,Install,Europe,FR,2235335,2049164.18,615495.11,873087.62,2850830.11,2922251.8,1383,223,1606,Tier 3,3,3
PRJ-0144,Energy,North America,US,1474478,2426520.19,45731.76,66647.63,1520209.76,2493167.82,1584,286,1870,Tier 3,9,4
PRJ-0145,Install,Europe,DE,3010756,2335676.82,749902.91,963834.95,3760658.91,3299511.77,1247,238,1485,Tier 3,5,0
PRJ-0146,Energy,Europe,FR,1528573,1034304.34,119279.91,157437.45,1647852.91,1191741.79,1676,30,1706,Tier 3,8,1
PRJ-0147,Install,North America,MX,818234,1213866.03,18854.04,19617.76,837088.04,1233483.79,786,98,884,Tier 4,7,6
PRJ-0148,Service,Oceania,NZ,58492,85291.98,1854.23,1916.88,60346.23,87208.86,1277,135,1412,Tier 5,1,0
PRJ-0149,Energy,Oceania,AU,4969423,5283371.86,781079.28,964333.14,5750502.28,6247705,716,71,787,Tier 2,4,1
PRJ-0150,Install,Europe,DE,825866,580235.59,86658.15,112946.61,912524.15,693182.2,1471,96,1567,Tier 4,0,0
PRJ-0151,Service,Africa,EG,2619674,4632854.29,42566.67,45050.66,2662240.67,4677904.95,1648,237,1885,Tier 3,8,8
PRJ-0152,Service,South America,BR,2842291,4371817.14,232877.91,290824.55,3075168.91,4662641.69,459,50,509,Tier 3,6,0
PRJ-0153,Service,South America,AR,4045062,2471797.24,153249.64,189361.55,4198311.64,2661158.79,1248,209,1457,Tier 3,1,0
PRJ-0154,Install,Asia,JP,1895629,1226933.65,127808.55,188572.61,2023437.55,1415506.26,1042,148,1190,Tier 3,6,0
PRJ-0155,Energy,Europe,FR,2336285,3467232.25,394913.68,515113.4,2731198.68,3982345.65,1405,10,1415,Tier 3,5,5
PRJ-0156,Service,Europe,FR,2080871,2385452.57,133020.43,154341.59,2213891.43,2539794.15,595,14,609,Tier 3,8,6
PRJ-0157,Service,Oceania,AU,789127,660610.54,182987.15,216378.95,972114.15,876989.49,345,63,408,Tier 4,5,3
PRJ-0158,Install,Africa,ZA,2654262,2766124.13,469806.45,603171.62,3124068.45,3369295.74,1276,186,1462,Tier 3,9,6
PRJ-0159,Energy,Africa,EG,2330900,2963278.49,122871.39,156286.26,2453771.39,3119564.75,1431,286,1717,Tier 3,0,0
PRJ-0160,Energy,North America,US,4581082,3814818.96,1205985.09,1493089.79,5787067.09,5307908.75,1565,15,1580,Tier 2,6,3
PRJ-0161,Install,Europe,DE,195081,256544.11,24969.41,28684.79,220050.41,285228.9,1208,66,1274,Tier 5,5,4
PRJ-0162,Service,South America,AR,2318756,2439682.93,469945.59,511918.28,2788701.59,2951601.21,259,24,283,Tier 3,9,9
PRJ-0163,Energy,Oceania,NZ,3153950,2440193.3,189024.79,251112.55,3342974.79,2691305.85,1181,63,1244,Tier 3,1,1
PRJ-0164,Energy,Oceania,AU,2713018,4579037.05,412667.27,573824.97,3125685.27,5152862.03,1374,238,1612,Tier 3,8,7
PRJ-0165,Install,Asia,JP,2706924,2897632.78,328121.15,355677.67,3035045.15,3253310.45,1162,232,1394,Tier 3,3,1
PRJ-0166,Energy,North America,US,4075149,4655586.58,239049.77,315667.47,4314198.77,4971254.05,153,13,166,Tier 3,10,4
PRJ-0167,Energy,Africa,ZA,4895724,6301004.52,547195.41,780226.87,5442919.41,7081231.39,791,96,887,Tier 2,3,3
PRJ-0168,Install,South America,BR,2651542,1935001.09,255115.65,282633.06,2906657.65,2217634.15,1191,0,1191,Tier 3,7,6
PRJ-0169,Service,Africa,EG,2654828,3902473.97,466319.73,584459.89,3121147.73,4486933.86,889,154,1043,Tier 3,7,0
PRJ-0170,Energy,North America,MX,3571973,4723938.17,866138.16,871512.43,4438111.16,5595450.6,1643,54,1697,Tier 3,4,0
PRJ-0171,Install,Europe,DE,3828828,5553527.65,3203.1,4348.2,3832031.1,5557875.85,1497,5,1502,Tier 3,7,7
PRJ-0172,Install,North America,MX,3589968,6426107.61,40822.63,53447.71,3630790.63,6479555.33,1157,87,1244,Tier 3,6,2
PRJ-0173,Install,South America,AR,1298729,1415613.42,323166.25,445153.19,1621895.25,1860766.61,378,10,388,Tier 3,6,1
PRJ-0174,Service,Africa,EG,1349922,1348857.51,400876.47,568171.34,1750798.47,1917028.85,119,3,122,Tier 3,5,3
PRJ-0175,Install,Africa,ZA,3127151,2544822.49,605857.76,826397.26,3733008.76,3371219.76,917,45,962,Tier 3,10,0
PRJ-0176,Install,South America,BR,2504716,2440573.33,471818.12,634312.25,2976534.12,3074885.58,995,0,995,Tier 3,0,0
PRJ-0177,Service,Africa,EG,2416107,2181124.22,516283.34,694678.98,2932390.34,2875803.2,756,14,770,Tier 3,9,3
PRJ-0178,Install,Africa,EG,3109414,2294864.9,367740.02,426080.41,3477154.02,2720945.31,1119,58,1177,Tier 3,0,0
PRJ-0179,Energy,South America,AR,2865920,3330188.33,732335.64,735649.18,3598255.64,4065837.51,271,36,307,Tier 3,8,0
PRJ-0180,Install,South America,AR,3836909,2624306.32,1028324.39,1535145.29,4865233.39,4159451.61,1266,211,1477,Tier 3,6,3
PRJ-0181,Service,South America,AR,2953442,2124530.95,426657.05,435970.67,3380099.05,2560501.62,1425,171,1596,Tier 3,8,6
PRJ-0182,Energy,Asia,JP,1315464,993915.24,24906.93,33271.72,1340370.93,1027186.96,92,7,99,Tier 3,7,6
PRJ-0183,Service,Oceania,NZ,4720685,5529766.56,1120278.23,1271884.24,5840963.23,6801650.8,1805,254,2059,Tier 2,4,0
PRJ-0184,Install,Europe,DE,1429196,1201611.72,112321.33,146136.01,1541517.33,1347747.74,132,7,139,Tier 3,5,4
PRJ-0185,Service,Oceania,AU,453839,531001.9,90774.35,134047.82,544613.35,665049.72,1718,244,1962,Tier 4,6,5
PRJ-0186,Service,Asia,CN,3075682,4750969.04,96034.04,130945.07,3171716.04,4881914.11,824,96,920,Tier 3,2,2
PRJ-0187,Install,Europe,FR,4815815,5233532.35,726185.11,988409.75,5542000.11,6221942.11,1539,64,1603,Tier 2,0,0
PRJ-0188,Energy,Asia,CN,2047700,3647990.7,414220.45,523942.45,2461920.45,4171933.14,1163,3,1166,Tier 3,1,1
PRJ-0189,Energy,Africa,ZA,2021009,2957092.59,155934.1,161348.23,2176943.1,3118440.81,1651,222,1873,Tier 3,10,2
PRJ-0190,Energy,North America,US,3632508,2938786.95,278757.19,284475.15,3911265.19,3223262.09,1695,112,1807,Tier 3,1,0
PRJ-0191,Service,Africa,ZA,2178623,1893338.41,218640.77,221409.71,2397263.77,2114748.13,1711,315,2026,Tier 3,8,6
PRJ-0192,Install,Oceania,NZ,3358788,4292118.17,672141.25,740963.77,4030929.25,5033081.94,1123,89,1212,Tier 3,1,1
PRJ-0193,Service,Europe,FR,2348006,1597576.92,473610.01,637840.4,2821616.01,2235417.33,649,126,775,Tier 3,2,1
PRJ-0194,Service,Europe,FR,2320928,2237172.29,590186.43,808418.42,2911114.43,3045590.71,1532,68,1600,Tier 3,1,1
PRJ-0195,Service,Oceania,AU,1927998,1376286.1,481815.51,648334.29,2409813.51,2024620.39,1659,250,1909,Tier 3,9,9
PRJ-0196,Service,Oceania,NZ,1388657,1121365.15,122950.46,130084.48,1511607.46,1251449.62,848,38,886,Tier 3,7,1
PRJ-0197,Energy,Oceania,AU,4363183,4131142.86,622936.35,636519.05,4986119.35,4767661.91,489,12,501,Tier 3,3,1
PRJ-0198,Energy,Asia,CN,3372056,2121580.28,40322.56,41751.26,3412378.56,2163331.55,1433,262,1695,Tier 3,0,0
PRJ-0199,Install,South America,BR,2624589,2523822.19,383442.01,476757.17,3008031.01,3000579.36,139,17,156,Tier 3,7,0
PRJ-0200,Service,Europe,DE,3263652,4455883.56,788916.1,1007546.15,4052568.1,5463429.71,534,87,621,Tier 3,4,0
PRJ-0201,Energy,Europe,DE,3857993,6875443.8,577160.45,589850.56,4435153.45,7465294.36,1803,284,2087,Tier 3,7,3
PRJ-0202,Service,Oceania,AU,2762970,2994786.53,658808.26,937952.97,3421778.26,3932739.5,188,37,225,Tier 3,9,0
PRJ-0203,Install,South America,BR,4041401,6779256.49,470788.27,617385.12,4512189.27,7396641.61,1030,75,1105,Tier 3,0,0
PRJ-0204,Energy,Africa,EG,3371254,2484879.31,847447.91,937858.58,4218701.91,3422737.89,707,32,739,Tier 3,1,0
PRJ-0205,Service,Asia,JP,373323,461791.14,96264.2,131403.26,469587.2,593194.4,1332,73,1405,Tier 4,8,8
