project_id,line_of_business,region,country_code,forecast_cost,estimated_sell_price,change_order_cost,change_order_sell_price,final_cost,final_sell_price,estimated_duration_days,delays_days,final_duration_days,tier,risks_registered,risks_prevented,estimated_margin,final_margin,final_margin_pct,change_order_profit,delay_ratio,risk_mitigation_rate,high_delay_flag,low_margin_flag,risk_management_issue
PRJ-0011,SERVICE,SOUTH AMERICA,BR,1978857.0,1238165.8,419939.71,497686.58,2398796.71,1735852.38,1764.0,259,2023.0,TIER 3,10,2,-740691.2,-662944.3300000001,-0.3819128502159844,77746.87,0.14682539682539683,0.2,False,True,True
PRJ-0012,INSTALL,NORTH AMERICA,MX,2911437.0,2334626.02,363249.35,459190.01,3274686.35,2793816.04,1593.0,119,1712.0,TIER 3,3,3,-576810.98,-480870.31000000006,-0.1721195322509495,95940.66000000003,0.07470182046453233,1.0,False,True,False
PRJ-0013,ENERGY,OCEANIA,AU,790598.0,1056247.8,95206.18,115774.56,885804.18,1172022.36,1120.0,146,1266.0,TIER 4,5,0,265649.80000000005,286218.18000000005,0.2442088050265526,20568.380000000005,0.13035714285714287,0.0,False,False,True
PRJ-0014,SERVICE,NORTH AMERICA,MX,1087747.0,1067570.73,83833.44,86596.14,1171580.44,1154166.87,904.0,86,990.0,TIER 3,4,1,-20176.27000000002,-17413.569999999832,-0.015087567017063859,2762.699999999997,0.09513274336283185,0.25,False,True,True
PRJ-0015,ENERGY,ASIA,CN,3777289.0,4595809.02,542734.04,544307.26,4320023.04,5140116.28,307.0,43,350.0,TIER 3,5,2,818520.0199999996,820093.2400000002,0.15954760463123224,1573.219999999972,0.14006514657980457,0.4,False,False,True
PRJ-0016,INSTALL,ASIA,JP,2752743.0,4819473.35,638040.46,866146.17,3390783.46,5685619.52,795.0,128,923.0,TIER 3,5,5,2066730.3499999996,2294836.0599999996,0.4036211097009882,228105.71000000008,0.1610062893081761,1.0,False,False,False
PRJ-0017,INSTALL,EUROPE,FR,4528407.0,4549416.06,179697.15,253291.75,4708104.15,4802707.81,1123.0,84,1207.0,TIER 3,8,5,21009.05999999959,94603.65999999922,0.019697983667259413,73594.6,0.07479964381121995,0.625,False,True,False
PRJ-0018,SERVICE,OCEANIA,AU,2280450.0,2519491.72,46449.9,47724.9,2326899.9,2567216.62,1080.0,173,1253.0,TIER 3,0,0,239041.7200000002,240316.7200000002,0.09360983336108201,1275.0,0.16018518518518518,0.0,False,True,True
PRJ-0019,SERVICE,NORTH AMERICA,MX,1481642.0,1483231.07,281155.03,302068.6,1762797.03,1785299.66,995.0,2,997.0,TIER 3,5,5,1589.0700000000652,22502.62999999989,0.012604399420543153,20913.56999999995,0.0020100502512562816,1.0,False,True,False
PRJ-0020,SERVICE,AFRICA,EG,3320998.0,2838513.71,978974.21,1423183.71,4299972.21,4261697.41,1379.0,258,1637.0,TIER 3,6,5,-482484.29000000004,-38274.799999999814,-0.008981116282490787,444209.5,0.18709209572153734,0.8333333333333334,False,True,False
PRJ-0021,SERVICE,SOUTH AMERICA,BR,1802441.0,2718441.2,272041.82,371045.38,2074482.82,3089486.57,1028.0,19,1047.0,TIER 3,0,0,916000.2000000002,1015003.7499999998,0.3285347668625728,99003.56,0.01848249027237354,0.0,False,False,True
PRJ-0022,SERVICE,OCEANIA,NZ,558220.0,638792.95,37644.38,42427.25,595864.38,681220.2,1301.0,31,1332.0,TIER 4,10,2,80572.94999999995,85355.81999999995,0.12529842773305894,4782.870000000003,0.02382782475019216,0.2,False,False,True
PRJ-0023,INSTALL,AFRICA,EG,2365255.0,1875846.54,33873.6,46812.16,2399128.6,1922658.7,1651.0,126,1777.0,TIER 3,4,3,-489408.45999999996,-476469.90000000014,-0.2478182425201104,12938.560000000005,0.07631738340399757,0.75,False,True,False
PRJ-0024,ENERGY,SOUTH AMERICA,BR,1545101.0,2359280.49,124068.1,175062.66,1669169.1,2534343.15,57.0,0,57.0,TIER 3,2,0,814179.4900000002,865174.0499999998,0.3413799942600511,50994.56,0.0,0.0,False,False,True
PRJ-0025,INSTALL,NORTH AMERICA,MX,1885326.0,2174310.34,164239.57,220464.24,2049565.57,2394774.58,700.0,100,800.0,TIER 3,7,0,288984.33999999985,345209.01,0.14415094133828663,56224.669999999984,0.14285714285714285,0.0,False,False,True
PRJ-0026,SERVICE,OCEANIA,AU,547006.0,836751.18,40512.6,45819.46,587518.6,882570.63,329.0,60,389.0,TIER 4,1,0,289745.18000000005,295052.03,0.33430982175330265,5306.860000000001,0.182370820668693,0.0,False,False,True
PRJ-0027,INSTALL,ASIA,JP,4177829.0,4053661.95,900789.83,911143.27,5078618.83,4964805.22,23.0,2,25.0,TIER 2,10,1,-124167.04999999981,-113813.61000000034,-0.022924083615912798,10353.44000000006,0.08695652173913043,0.1,False,True,True
PRJ-0028,ENERGY,OCEANIA,AU,2780736.0,2738098.14,307168.83,424494.89,3087904.83,3162593.04,1458.0,94,1552.0,TIER 3,0,0,-42637.85999999987,74688.20999999996,0.023616130515483575,117326.06,0.0644718792866941,0.0,False,True,True
PRJ-0029,ENERGY,NORTH AMERICA,MX,2310345.0,1404918.7,131039.02,173206.44,2441384.02,1578125.14,1694.0,74,1768.0,TIER 3,2,1,-905426.3,-863258.8800000001,-0.5470154793934784,42167.42,0.043683589138134596,0.5,False,True,False
PRJ-0030,INSTALL,OCEANIA,AU,1003159.0,1613378.82,98379.33,100867.36,1101538.33,1714246.17,1427.0,193,1620.0,TIER 3,8,2,610219.8200000001,612707.8399999999,0.3574211514790783,2488.029999999999,0.13524877365101612,0.25,False,False,True
PRJ-0031,SERVICE,NORTH AMERICA,MX,2965318.0,4609337.7,688080.91,721727.18,3653398.91,5331064.88,1541.0,299,1840.0,TIER 3,5,2,1644019.7000000002,1677665.9699999997,0.314696220692028,33646.27000000002,0.19402985074626866,0.4,False,False,True
PRJ-0032,ENERGY,ASIA,CN,3898045.0,4821889.2,1040158.95,1095356.95,4938203.95,5917246.15,364.0,49,413.0,TIER 3,4,1,923844.2000000002,979042.2000000002,0.16545571625408892,55198.0,0.1346153846153846,0.25,False,False,True
PRJ-0033,ENERGY,AFRICA,EG,1810255.0,3188461.49,142066.21,169634.2,1952321.21,3358095.69,1287.0,221,1508.0,TIER 3,1,0,1378206.4900000002,1405774.48,0.41862251995564786,27567.99000000002,0.1717171717171717,0.0,False,False,True
PRJ-0034,SERVICE,ASIA,JP,147916.0,225541.32,9256.96,11097.0,157172.96,236638.32,1615.0,137,1752.0,TIER 5,8,1,77625.32,79465.36000000002,0.3358093482070022,1840.0400000000009,0.0848297213622291,0.125,False,False,True
PRJ-0035,ENERGY,AFRICA,EG,2883544.0,1945465.01,707746.21,810018.75,3591290.21,2755483.76,162.0,13,175.0,TIER 3,0,0,-938078.99,-835806.4500000002,-0.3033247599325355,102272.54000000004,0.08024691358024691,0.0,False,True,True
PRJ-0036,SERVICE,OCEANIA,AU,4619467.0,3674826.42,1123136.41,1677445.01,5742603.41,5352271.42,287.0,40,327.0,TIER 2,3,2,-944640.5800000001,-390331.9900000002,-0.07292828770630624,554308.6000000001,0.13937282229965156,0.6666666666666666,False,True,False
PRJ-0037,SERVICE,ASIA,JP,1595360.0,1650788.83,466152.44,618210.89,2061512.44,2268999.72,322.0,11,333.0,TIER 3,1,0,55428.830000000075,207487.28000000026,0.09144438325448548,152058.45,0.034161490683229816,0.0,False,True,True
PRJ-0038,SERVICE,EUROPE,DE,3116702.0,3637445.5,919682.39,1323757.93,4036384.39,4961203.43,1560.0,20,1580.0,TIER 3,3,1,520743.5,924819.0399999996,0.18641022345660993,404075.5399999999,0.01282051282051282,0.3333333333333333,False,False,True
PRJ-0039,INSTALL,NORTH AMERICA,US,4859864.0,6204328.74,295069.34,310756.93,5154933.34,6515085.67,1382.0,12,1394.0,TIER 2,6,6,1344464.7400000002,1360152.33,0.20876967685368902,15687.589999999967,0.008683068017366137,1.0,False,False,False
PRJ-0040,INSTALL,EUROPE,DE,4647054.0,8220997.33,834911.72,1246437.86,5481965.72,9467435.2,265.0,39,304.0,TIER 2,6,3,3573943.33,3985469.4799999995,0.4209661218489248,411526.14000000013,0.1471698113207547,0.5,False,False,False
PRJ-0041,SERVICE,EUROPE,FR,55788.0,48564.72,3306.3,3944.95,59094.3,52509.67,574.0,63,637.0,TIER 5,10,2,-7223.279999999999,-6584.630000000005,-0.12539842661361242,638.6499999999996,0.10975609756097561,0.2,False,True,True
PRJ-0042,ENERGY,OCEANIA,NZ,1365725.0,1382650.03,272657.07,377819.14,1638382.07,1760469.16,542.0,54,596.0,TIER 3,0,0,16925.030000000028,122087.08999999985,0.06934917848830698,105162.07,0.0996309963099631,0.0,False,True,True
PRJ-0043,ENERGY,NORTH AMERICA,MX,4474072.0,3497793.12,1164844.95,1204673.03,5638916.95,4702466.16,65.0,8,73.0,TIER 2,4,4,-976278.8799999999,-936450.79,-0.19914035702491903,39828.080000000075,0.12307692307692308,1.0,False,True,False
PRJ-0044,INSTALL,ASIA,JP,1714794.0,2660975.87,285312.43,367826.62,2000106.43,3028802.49,1575.0,304,1879.0,TIER 3,9,0,946181.8700000001,1028696.0600000003,0.339637881108583,82514.19,0.19301587301587303,0.0,False,False,True
PRJ-0045,INSTALL,NORTH AMERICA,MX,2184135.0,1460320.37,423387.96,468738.94,2607522.96,1929059.31,1112.0,50,1162.0,TIER 3,9,7,-723814.6299999999,-678463.6499999999,-0.3517069933946198,45350.97999999998,0.044964028776978415,0.7777777777777778,False,True,False
PRJ-0046,ENERGY,SOUTH AMERICA,AR,1141593.0,1350100.81,30381.14,44080.37,1171974.14,1394181.18,641.0,76,717.0,TIER 3,5,1,208507.81000000006,222207.04000000004,0.159381752664313,13699.230000000003,0.11856474258970359,0.2,False,False,True
PRJ-0047,SERVICE,EUROPE,DE,3723408.0,3255171.23,73807.12,85833.01,3797215.12,3341004.25,167.0,18,185.0,TIER 3,0,0,-468236.77,-456210.8700000001,-0.136549024144462,12025.89,0.10778443113772455,0.0,False,True,True
PRJ-0048,SERVICE,EUROPE,FR,1368215.0,947886.33,224967.45,243258.16,1593182.45,1191144.49,1172.0,206,1378.0,TIER 3,10,7,-420328.67000000004,-402037.95999999996,-0.33752241090415486,18290.709999999992,0.1757679180887372,0.7,False,True,False
PRJ-0049,INSTALL,ASIA,CN,4812083.0,3281778.57,56807.44,66442.92,4868890.44,3348221.48,566.0,14,580.0,TIER 3,0,0,-1530304.4300000002,-1520668.9600000004,-0.45417215350998835,9635.479999999996,0.024734982332155476,0.0,False,True,True
PRJ-0050,SERVICE,AFRICA,EG,2235547.0,2004824.25,522672.96,535769.74,2758219.96,2540593.99,1404.0,103,1507.0,TIER 3,0,0,-230722.75,-217625.96999999974,-0.08565948390675353,13096.77999999997,0.07336182336182336,0.0,False,True,True
PRJ-0051,ENERGY,SOUTH AMERICA,BR,730582.0,1309936.16,26229.52,30666.27,756811.52,1340602.43,49.0,7,56.0,TIER 4,10,1,579354.1599999999,583790.9099999999,0.4354690823587422,4436.75,0.14285714285714285,0.1,False,False,True
PRJ-0052,INSTALL,SOUTH AMERICA,AR,3455407.0,2090460.13,818328.18,839356.76,4273735.18,2929816.9,41.0,0,41.0,TIER 3,5,3,-1364946.87,-1343918.2799999998,-0.45870384596388936,21028.579999999958,0.0,0.6,False,True,False
PRJ-0053,INSTALL,NORTH AMERICA,MX,160609.0,283174.96,1347.37,1418.42,161956.37,284593.38,423.0,32,455.0,TIER 5,4,2,122565.96000000002,122637.01000000001,0.4309201078394726,71.05000000000018,0.07565011820330969,0.5,False,False,False
PRJ-0054,INSTALL,EUROPE,FR,4379931.0,5272683.86,1094943.79,1177798.65,5474874.79,6450482.51,1153.0,170,1323.0,TIER 2,6,4,892752.8600000003,975607.7199999997,0.15124569650216751,82854.85999999987,0.1474414570685169,0.6666666666666666,False,False,False
PRJ-0055,INSTALL,NORTH AMERICA,US,2859481.0,4912726.64,90156.27,91470.35,2949637.27,5004196.99,1011.0,5,1016.0,TIER 3,0,0,2053245.6399999997,2054559.7200000002,0.41056731461724494,1314.0800000000017,0.004945598417408506,0.0,False,False,True
PRJ-0056,INSTALL,EUROPE,DE,3988065.0,3222532.41,459739.49,467195.91,4447804.49,3689728.32,1243.0,28,1271.0,TIER 3,7,4,-765532.5899999999,-758076.1700000004,-0.20545582337075713,7456.419999999984,0.02252614641995173,0.5714285714285714,False,True,False
PRJ-0057,ENERGY,OCEANIA,NZ,1138952.0,1156908.18,58050.84,73827.98,1197002.84,1230736.17,612.0,106,718.0,TIER 3,9,4,17956.179999999935,33733.32999999984,0.027409066883928374,15777.14,0.17320261437908496,0.4444444444444444,False,True,True
PRJ-0058,SERVICE,OCEANIA,NZ,106953.0,104712.47,4700.36,6967.52,111653.36,111680.0,137.0,21,158.0,TIER 5,7,6,-2240.529999999999,26.639999999999418,0.00023853868194841885,2267.1600000000008,0.15328467153284672,0.8571428571428571,False,True,False
PRJ-0059,ENERGY,NORTH AMERICA,MX,2369775.0,1839983.14,125262.45,166552.94,2495037.45,2006536.08,914.0,59,973.0,TIER 3,3,1,-529791.8600000001,-488501.3700000001,-0.24345506411227855,41290.490000000005,0.06455142231947483,0.3333333333333333,False,True,True
PRJ-0060,SERVICE,NORTH AMERICA,US,615888.0,908685.02,39018.46,53104.79,654906.46,961789.81,1430.0,254,1684.0,TIER 4,8,6,292797.02,306883.3500000001,0.3190752769568229,14086.330000000002,0.17762237762237762,0.75,False,False,False
PRJ-0061,INSTALL,SOUTH AMERICA,BR,4309284.0,6612379.12,720280.07,1077728.41,5029564.07,7690107.54,1296.0,48,1344.0,TIER 2,2,0,2303095.12,2660543.4699999997,0.34596960525730175,357448.33999999997,0.037037037037037035,0.0,False,False,True
PRJ-0062,ENERGY,EUROPE,DE,623125.0,878924.88,181460.27,243010.13,804585.27,1121935.02,52.0,7,59.0,TIER 4,5,0,255799.88,317349.75,0.2828592960758102,61549.860000000015,0.1346153846153846,0.0,False,False,True
PRJ-0063,ENERGY,ASIA,JP,4702236.0,3195460.25,698187.36,957906.39,5400423.36,4153366.64,1162.0,151,1313.0,TIER 2,0,0,-1506775.75,-1247056.7200000002,-0.3002520191667934,259719.03000000003,0.12994836488812392,0.0,False,True,True
PRJ-0064,SERVICE,OCEANIA,AU,4028787.0,5370388.21,410223.28,539982.6,4439010.28,5910370.81,776.0,129,905.0,TIER 3,6,3,1341601.21,1471360.5299999993,0.24894555304559637,129759.31999999995,0.16623711340206185,0.5,False,False,False
PRJ-0065,SERVICE,AFRICA,EG,1318574.0,1929906.38,317340.71,432854.39,1635914.71,2362760.77,854.0,64,918.0,TIER 3,3,0,611332.3799999999,726846.06,0.3076257525640228,115513.68,0.07494145199063232,0.0,False,False,True
PRJ-0066,SERVICE,OCEANIA,NZ,2431078.0,2222124.41,393919.82,464936.22,2824997.82,2687060.63,769.0,37,806.0,TIER 3,5,1,-208953.58999999985,-137937.18999999994,-0.05133385843995636,71016.39999999997,0.04811443433029909,0.2,False,True,True
PRJ-0067,INSTALL,OCEANIA,AU,2661758.0,4453699.64,345919.2,427017.12,3007677.2,4880716.75,166.0,9,175.0,TIER 3,7,0,1791941.6399999997,1873039.5499999998,0.38376321469587427,81097.91999999998,0.05421686746987952,0.0,False,False,True
PRJ-0068,ENERGY,ASIA,JP,3735211.0,6065377.99,963269.02,1157768.91,4698480.02,7223146.9,636.0,77,713.0,TIER 3,8,5,2330166.99,2524666.880000001,0.3495245098780977,194499.8899999999,0.12106918238993711,0.625,False,False,False
PRJ-0069,SERVICE,NORTH AMERICA,US,3500237.0,2209468.31,712720.13,797217.88,4212957.13,3006686.19,1406.0,233,1639.0,TIER 3,7,0,-1290768.69,-1206270.94,-0.4011961554258511,84497.75,0.16571834992887624,0.0,False,True,True
PRJ-0070,INSTALL,OCEANIA,NZ,1963583.0,3477572.14,580258.02,768957.12,2543841.02,4246529.27,595.0,100,695.0,TIER 3,8,3,1513989.1400000001,1702688.2499999995,0.40095997030535,188699.09999999998,0.16806722689075632,0.375,False,False,True
PRJ-0071,ENERGY,EUROPE,DE,990477.0,1324013.15,151763.04,212759.52,1142240.04,1536772.67,1261.0,98,1359.0,TIER 3,6,4,333536.1499999999,394532.6299999999,0.2567280364245415,60996.47999999998,0.07771609833465504,0.6666666666666666,False,False,False
PRJ-0072,ENERGY,AFRICA,EG,3972321.0,4737541.4,88172.12,128296.85,4060493.12,4865838.25,1104.0,130,1234.0,TIER 3,6,5,765220.4000000004,805345.1299999999,0.16551004957881613,40124.73000000001,0.11775362318840579,0.8333333333333334,False,False,False
PRJ-0073,SERVICE,AFRICA,ZA,1685103.0,2966216.18,52732.3,60085.4,1737835.3,3026301.59,229.0,11,240.0,TIER 3,3,2,1281113.1800000002,1288466.2899999998,0.42575607608229155,7353.0999999999985,0.048034934497816595,0.6666666666666666,False,False,False
PRJ-0074,INSTALL,ASIA,CN,3407470.0,3388404.24,702764.19,1025962.71,4110234.19,4414366.94,822.0,83,905.0,TIER 3,6,6,-19065.759999999776,304132.75000000047,0.06889611899820916,323198.52,0.10097323600973236,1.0,False,True,False
PRJ-0075,SERVICE,NORTH AMERICA,MX,285224.0,321113.23,27320.81,34677.43,312544.81,355790.66,777.0,152,929.0,TIER 4,10,2,35889.22999999998,43245.84999999998,0.12154858140458207,7356.619999999999,0.1956241956241956,0.2,False,False,True
PRJ-0076,INSTALL,EUROPE,DE,1339758.0,869706.16,303222.08,311243.31,1642980.08,1180949.48,850.0,64,914.0,TIER 3,6,2,-470051.83999999997,-462030.6000000001,-0.3912365497633312,8021.229999999981,0.07529411764705882,0.3333333333333333,False,True,True
PRJ-0077,INSTALL,EUROPE,DE,3084859.0,2114882.34,547304.01,739354.85,3632163.01,2854237.2,1563.0,237,1800.0,TIER 3,6,4,-969976.6600000001,-777925.8099999996,-0.27255121263222254,192050.83999999997,0.15163147792706333,0.6666666666666666,False,True,False
PRJ-0078,SERVICE,NORTH AMERICA,MX,4883617.0,4848611.6,799453.96,885411.15,5683070.96,5734022.76,508.0,88,596.0,TIER 2,9,1,-35005.40000000037,50951.799999999814,0.008885873344527815,85957.19000000006,0.1732283464566929,0.1111111111111111,False,True,True
PRJ-0079,SERVICE,NORTH AMERICA,MX,4360218.0,3861790.4,864506.05,1194211.43,5224724.05,5056001.82,1457.0,253,1710.0,TIER 2,3,2,-498427.6000000001,-168722.22999999952,-0.03337068221229388,329705.3799999999,0.17364447494852436,0.6666666666666666,False,True,False
PRJ-0080,SERVICE,SOUTH AMERICA,BR,2529066.0,4427035.91,443751.57,571522.54,2972817.57,4998558.44,236.0,13,249.0,TIER 3,3,2,1897969.9100000001,2025740.8700000006,0.40526501676751436,127770.97000000003,0.05508474576271186,0.6666666666666666,False,False,False
PRJ-0081,INSTALL,AFRICA,EG,1096194.0,941776.51,26992.23,29008.4,1123186.23,970784.91,1113.0,129,1242.0,TIER 3,9,0,-154417.49,-152401.31999999995,-0.15698773068073332,2016.170000000002,0.11590296495956873,0.0,False,True,True
PRJ-0082,ENERGY,SOUTH AMERICA,AR,3867362.0,5929103.37,1129117.35,1544892.33,4996479.35,7473995.71,221.0,11,232.0,TIER 3,1,1,2061741.37,2477516.3600000003,0.33148485176211057,415774.98,0.049773755656108594,1.0,False,False,False
PRJ-0083,INSTALL,NORTH AMERICA,MX,3222531.0,4642837.27,945014.48,1119056.84,4167545.48,5761894.11,247.0,6,253.0,TIER 3,0,0,1420306.2699999996,1594348.6300000004,0.2767056456717842,174042.3600000001,0.024291497975708502,0.0,False,False,True
PRJ-0084,SERVICE,AFRICA,EG,1558460.0,2282567.2,332156.76,366578.88,1890616.76,2649146.08,113.0,4,117.0,TIER 3,10,0,724107.2000000002,758529.3200000001,0.2863297444133394,34422.119999999995,0.035398230088495575,0.0,False,False,True
PRJ-0085,ENERGY,OCEANIA,AU,4021786.0,6498544.86,1151597.57,1655789.19,5173383.57,8154334.04,54.0,9,63.0,TIER 2,1,1,2476758.8600000003,2980950.4699999997,0.36556639148915704,504191.6199999999,0.16666666666666666,1.0,False,False,False
PRJ-0086,SERVICE,NORTH AMERICA,MX,4845254.0,5758732.9,374522.73,472290.03,5219776.73,6231022.93,1107.0,107,1214.0,TIER 2,2,1,913478.9000000004,1011246.1999999993,0.1622921647633865,97767.30000000005,0.0966576332429991,0.5,False,False,False
PRJ-0087,ENERGY,EUROPE,DE,1054346.0,1447998.8,75585.37,104132.97,1129931.37,1552131.77,926.0,50,976.0,TIER 3,8,4,393652.80000000005,422200.3999999999,0.272013245370269,28547.600000000006,0.05399568034557235,0.5,False,False,False
PRJ-0088,ENERGY,AFRICA,ZA,4547383.0,5276809.04,1065246.36,1488556.34,5612629.36,6765365.38,80.0,5,85.0,TIER 2,2,1,729426.04,1152736.0199999996,0.17038784385655747,423309.98,0.0625,0.5,False,False,False
PRJ-0089,SERVICE,NORTH AMERICA,MX,2349133.0,3666590.02,300806.5,322607.94,2649939.5,3989197.96,1768.0,314,2082.0,TIER 3,0,0,1317457.02,1339258.46,0.3357212335484098,21801.440000000002,0.17760180995475114,0.0,False,False,True
PRJ-0090,INSTALL,EUROPE,DE,204173.0,177120.77,7395.78,10771.1,211568.78,187891.88,920.0,116,1036.0,TIER 5,9,1,-27052.23000000001,-23676.899999999994,-0.12601342857392236,3375.3200000000006,0.12608695652173912,0.1111111111111111,False,True,True
PRJ-0091,INSTALL,OCEANIA,AU,1263494.0,922142.04,119230.19,171086.24,1382724.19,1093228.28,1676.0,88,1764.0,TIER 3,9,6,-341351.95999999996,-289495.9099999999,-0.26480828871349715,51856.04999999999,0.05250596658711217,0.6666666666666666,False,True,False
PRJ-0092,SERVICE,EUROPE,DE,3911116.0,3494514.71,471707.51,596053.0,4382823.51,4090567.71,389.0,37,426.0,TIER 3,7,3,-416601.29000000004,-292255.7999999998,-0.07144626876253317,124345.48999999999,0.09511568123393316,0.42857142857142855,False,True,True
PRJ-0093,ENERGY,OCEANIA,AU,1514190.0,2121847.14,113170.76,138812.78,1627360.76,2260659.92,1470.0,87,1557.0,TIER 3,5,0,607657.1400000001,633299.1599999999,0.2801390666491756,25642.020000000004,0.05918367346938776,0.0,False,False,True
PRJ-0094,SERVICE,AFRICA,EG,1498744.0,1148130.74,401392.16,558784.92,1900136.16,1706915.66,52.0,2,54.0,TIER 3,6,3,-350613.26,-193220.5,-0.11319862165890493,157392.76000000007,0.038461538461538464,0.5,False,True,False
PRJ-0095,INSTALL,ASIA,JP,1430230.0,2475819.29,162050.54,213151.3,1592280.54,2688970.59,626.0,6,632.0,TIER 3,5,5,1045589.29,1096690.0499999998,0.4078475436207727,51100.75999999998,0.009584664536741214,1.0,False,False,False
PRJ-0096,INSTALL,EUROPE,FR,2734866.0,3688682.3,40855.47,46556.1,2775721.47,3735238.4,1526.0,239,1765.0,TIER 3,6,5,953816.2999999998,959516.9299999997,0.25688237998409946,5700.629999999997,0.1566186107470511,0.8333333333333334,False,False,False
PRJ-0097,SERVICE,EUROPE,FR,2732364.0,2786028.39,407186.7,483556.81,3139550.7,3269585.2,778.0,99,877.0,TIER 3,2,1,53664.39000000013,130034.5,0.039770947091392506,76370.10999999999,0.12724935732647816,0.5,False,True,False
PRJ-0098,INSTALL,ASIA,CN,777433.0,943939.76,186763.56,267266.62,964196.56,1211206.38,1571.0,231,1802.0,TIER 4,5,2,166506.76,247009.81999999983,0.20393702021285576,80503.06,0.14704010184595798,0.4,False,False,True
PRJ-0099,INSTALL,OCEANIA,AU,2263018.0,3933209.41,365202.25,387968.68,2628220.25,4321178.09,1364.0,215,1579.0,TIER 3,3,2,1670191.4100000001,1692957.8399999999,0.3917815477028858,22766.429999999993,0.15762463343108504,0.6666666666666666,False,False,False
PRJ-0100,ENERGY,EUROPE,DE,697344.0,678281.33,65906.74,71722.31,763250.74,750003.64,768.0,117,885.0,TIER 4,0,0,-19062.670000000042,-13247.099999999977,-0.01766271427696001,5815.569999999992,0.15234375,0.0,False,True,True
PRJ-0101,INSTALL,SOUTH AMERICA,BR,4095833.0,3655153.9,311268.23,332435.22,4407101.23,3987589.12,1210.0,216,1426.0,TIER 3,1,0,-440679.1000000001,-419512.11000000034,-0.10520444744317095,21166.98999999999,0.17851239669421487,0.0,False,True,True
PRJ-0102,SERVICE,AFRICA,ZA,3490257.0,3744840.33,527836.97,638489.48,4018093.97,4383329.81,214.0,13,227.0,TIER 3,5,0,254583.33000000007,365235.8399999994,0.0833238327553544,110652.51000000001,0.06074766355140187,0.0,False,True,True
PRJ-0103,SERVICE,ASIA,CN,4532000.0,6955653.87,795219.23,805084.65,5327219.23,7760738.52,1238.0,49,1287.0,TIER 2,2,0,2423653.87,2433519.289999999,0.31356800435018384,9865.420000000042,0.0395799676898223,0.0,False,False,True
